t =25.00;curr score = -86.34
t =0.00;curr score = -37.58
t =0.00;curr score = -37.59
t =0.00;curr score = -37.58
t =0.00;curr score = -37.59
t =0.00;curr score = -37.58
t =0.00;curr score = -37.30
t =0.00;curr score = -37.11
t =0.00;curr score = -37.04
t =0.00;curr score = -37.02
t =0.00;curr score = -36.94
t =0.00;curr score = -36.55
t =0.00;curr score = -36.50
t =0.00;curr score = -36.32
t =0.00;curr score = -36.24
t =0.00;curr score = -36.14
t =0.00;curr score = -36.07
t =0.00;curr score = -36.03
t =0.00;curr score = -35.46
t =0.00;curr score = -35.36
t =0.00;curr score = -35.33
t =0.00;curr score = -35.27
t =0.00;curr score = -34.83
t =0.00;curr score = -34.79
t =0.00;curr score = -34.75
t =0.00;curr score = -34.69
t =0.00;curr score = -34.50
t =0.00;curr score = -34.39
t =0.00;curr score = -34.31
t =0.00;curr score = -34.24
t =0.00;curr score = -34.07
t =0.00;curr score = -34.02
t =0.00;curr score = -33.48
t =0.00;curr score = -33.48
t =0.00;curr score = -33.44
t =0.00;curr score = -33.43
t =0.00;curr score = -33.31
t =0.00;curr score = -33.25
t =0.00;curr score = -33.23
t =0.00;curr score = -33.20
t =0.00;curr score = -33.19
t =0.00;curr score = -33.18
t =0.00;curr score = -33.19
t =0.00;curr score = -33.18
t =0.00;curr score = -33.10
t =0.00;curr score = -33.01
t =0.00;curr score = -32.93
t =0.00;curr score = -32.50
t =0.00;curr score = -32.28
t =0.00;curr score = -32.15
t =0.00;curr score = -32.05
t =0.00;curr score = -31.75
t =0.00;curr score = -31.61
t =0.00;curr score = -31.57
t =0.00;curr score = -31.47
t =0.00;curr score = -31.43
t =0.00;curr score = -31.41
t =0.00;curr score = -31.32
t =0.00;curr score = -31.22
t =0.00;curr score = -31.20
t =0.00;curr score = -31.18
t =0.00;curr score = -31.12
t =0.00;curr score = -31.11
t =0.00;curr score = -31.08
t =0.00;curr score = -30.71
t =0.00;curr score = -30.54
t =0.00;curr score = -30.53
t =0.00;curr score = -30.51
t =0.00;curr score = -30.31
t =0.00;curr score = -30.22
t =0.00;curr score = -30.08
t =0.00;curr score = -30.03
t =0.00;curr score = -29.96
t =0.00;curr score = -29.95
t =0.00;curr score = -29.92
t =0.00;curr score = -29.71
t =0.00;curr score = -29.66
t =0.00;curr score = -29.49
t =0.00;curr score = -29.48
t =0.00;curr score = -29.21
t =0.00;curr score = -29.15
t =0.00;curr score = -29.10
t =0.00;curr score = -29.07
t =0.00;curr score = -29.06
t =0.00;curr score = -28.79
t =0.00;curr score = -28.79
t =0.00;curr score = -28.77
t =0.00;curr score = -28.76
t =0.00;curr score = -28.48
t =0.00;curr score = -28.24
t =0.00;curr score = -28.20
t =0.00;curr score = -28.11
t =0.00;curr score = -28.10
t =0.00;curr score = -27.97
t =0.00;curr score = -27.91
t =0.00;curr score = -27.90
t =0.00;curr score = -27.68
t =0.00;curr score = -27.62
t =0.00;curr score = -27.57
t =0.00;curr score = -27.56
t =0.00;curr score = -27.54
t =0.00;curr score = -27.45
t =0.00;curr score = -27.39
t =0.00;curr score = -27.29
t =0.00;curr score = -27.27
